state,year_month_dt,year_month,vehicle_count,vehicle_count_num
Selangor,2024-12-01,2024-12,0,0
Selangor,2025-01-01,2025-01,888,888
Selangor,2025-02-01,2025-02,907,907
Selangor,2025-03-01,2025-03,1263,1263
Selangor,2025-04-01,2025-04,1147,1147
Selangor,2025-05-01,2025-05,1414,1414
Selangor,2025-06-01,2025-06,1203,1203
Selangor,2025-07-01,2025-07,1386,1386
Selangor,2025-08-01,2025-08,1360,1360
Selangor,2025-09-01,2025-09,1184,1184
Selangor,2025-10-01,2025-10,0,0
Selangor,2025-11-01,2025-11,0,0
Selangor,2025-12-01,2025-12,0,0
W.P. Putrajaya,2015-01-01,2015-01,0,0
W.P. Putrajaya,2015-02-01,2015-02,0,0
W.P. Putrajaya,2015-03-01,2015-03,0,0
W.P. Putrajaya,2015-04-01,2015-04,0,0
W.P. Putrajaya,2015-05-01,2015-05,0,0
W.P. Putrajaya,2015-06-01,2015-06,0,0
W.P. Putrajaya,2015-07-01,2015-07,0,0
W.P. Putrajaya,2015-08-01,2015-08,0,0
W.P. Putrajaya,2015-09-01,2015-09,0,0
W.P. Putrajaya,2015-10-01,2015-10,0,0
W.P. Putrajaya,2015-11-01,2015-11,0,0
W.P. Putrajaya,2015-12-01,2015-12,0,0
W.P. Putrajaya,2016-01-01,2016-01,0,0
W.P. Putrajaya,2016-02-01,2016-02,0,0
W.P. Putrajaya,2016-03-01,2016-03,0,0
W.P. Putrajaya,2016-04-01,2016-04,0,0
W.P. Putrajaya,2016-05-01,2016-05,0,0
W.P. Putrajaya,2016-06-01,2016-06,0,0
W.P. Putrajaya,2016-07-01,2016-07,0,0
W.P. Putrajaya,2016-08-01,2016-08,0,0
W.P. Putrajaya,2016-09-01,2016-09,0,0
W.P. Putrajaya,2016-10-01,2016-10,0,0
W.P. Putrajaya,2016-11-01,2016-11,0,0
W.P. Putrajaya,2016-12-01,2016-12,0,0
W.P. Putrajaya,2017-01-01,2017-01,0,0
W.P. Putrajaya,2017-02-01,2017-02,0,0
W.P. Putrajaya,2017-03-01,2017-03,0,0
W.P. Putrajaya,2017-04-01,2017-04,0,0
W.P. Putrajaya,2017-05-01,2017-05,0,0
W.P. Putrajaya,2017-06-01,2017-06,0,0
W.P. Putrajaya,2017-07-01,2017-07,0,0
W.P. Putrajaya,2017-08-01,2017-08,0,0
W.P. Putrajaya,2017-09-01,2017-09,0,0
W.P. Putrajaya,2017-10-01,2017-10,0,0
W.P. Putrajaya,2017-11-01,2017-11,0,0
W.P. Putrajaya,2017-12-01,2017-12,0,0
W.P. Putrajaya,2018-01-01,2018-01,0,0
W.P. Putrajaya,2018-02-01,2018-02,0,0
W.P. Putrajaya,2018-03-01,2018-03,0,0
W.P. Putrajaya,2018-04-01,2018-04,0,0
W.P. Putrajaya,2018-05-01,2018-05,0,0
W.P. Putrajaya,2018-06-01,2018-06,0,0
W.P. Putrajaya,2018-07-01,2018-07,0,0
W.P. Putrajaya,2018-08-01,2018-08,0,0
W.P. Putrajaya,2018-09-01,2018-09,0,0
W.P. Putrajaya,2018-10-01,2018-10,0,0
W.P. Putrajaya,2018-11-01,2018-11,0,0
W.P. Putrajaya,2018-12-01,2018-12,0,0
W.P. Putrajaya,2019-01-01,2019-01,0,0
W.P. Putrajaya,2019-02-01,2019-02,0,0
W.P. Putrajaya,2019-03-01,2019-03,0,0
W.P. Putrajaya,2019-04-01,2019-04,0,0
W.P. Putrajaya,2019-05-01,2019-05,0,0
W.P. Putrajaya,2019-06-01,2019-06,0,0
